Nazwa punktu pomiarowego,Grupa,Budynek,Klatka,Lokal,Właściciel,Lokalizacja,Uwagi,Mierzona wielkość,Nr miernika,Typ urządzenia,Nr radiowy,Objętość [m3] wrzesień 2020,"Objętość [m3] 
sierpień
 2020",Objętość [m3] lipiec 2020
1589558,odczyty z dnia 2020-07-01,Orzechowa 46,,1,,-,,CW,61543325,AT-WMBUS-16-2,1589558,34.19,33.945,32.519
1591745,odczyty z dnia 2020-07-01,Orzechowa 46,,1,,-,,ZW,61592165,AT-WMBUS-16-2,1591745,59.951,59.594,57.301
1589101,odczyty z dnia 2020-07-01,Orzechowa 46,,2,,-,,CW,61543228,AT-WMBUS-16-2,1589101,26.878,25.838,24.766
1600749,odczyty z dnia 2020-07-01,Orzechowa 46,,2,,-,,ZW,61592063,AT-WMBUS-16-2,1600749,34.03,29.07,23.415
1607736,odczyty z dnia 2020-07-01,Orzechowa 46,,3,,-,,CW,61543151,AT-WMBUS-16-2,1607736,82.555,81.119,80.681
1591356,odczyty z dnia 2020-07-01,Orzechowa 46,,3,,-,,ZW,61591168,AT-WMBUS-16-2,1591356,110.952,108.682,107.766
1606647,odczyty z dnia 2020-07-01,Orzechowa 46,,4,,-,,CW,61543152,AT-WMBUS-16-2,1606647,216.664,209.534,201.259
1567116,odczyty z dnia 2020-07-01,Orzechowa 46,,4,,-,,ZW,61592138,AT-WMBUS-16-2,1567116,194.227,187.722,180.912
1608504,odczyty z dnia 2020-07-01,Orzechowa 46,,5,,-,,CW,61543171,AT-WMBUS-16-2,1608504,121.877,117.309,111.702
1567090,odczyty z dnia 2020-07-01,Orzechowa 46,,5,,-,,ZW,61592140,AT-WMBUS-16-2,1567090,146.196,141.351,136.078
1598760,odczyty z dnia 2020-07-01,Orzechowa 46,,6,,-,,CW,61543178,AT-WMBUS-16-2,1598760,66.442,63.52,60.097
1591735,odczyty z dnia 2020-07-01,Orzechowa 46,,6,,-,,ZW,61592241,AT-WMBUS-16-2,1591735,94.742,89.899,86.357
