Nazwa punktu pomiarowego,Grupa,Budynek,Klatka,Lokal,Właściciel,Lokalizacja,Uwagi,Typ urządzenia,Nr radiowy,Typ odczytu,Data odczytu,Objętość [m3],Energia [GJ],Temperatura zasilania [st.C],Temperatura powrotu [st.C],Objętość 1. [m3],Objętość 2. [m3/h],Przepływ [m3],Nr klienta,Nr fabryczny,Alarmy
10709,WM Młyńska 18-60 Oława,Młyńska 18,,,,-,,AT-WMBUS-MR-01z,10709,Zalogowany,8/31/2018 23:59,,288.28,,,,,,,1443607,
13786,WM Młyńska 18-60 Oława,Młyńska 20,,1,,Klatka,,AT-WMBUS-MR-01z,13786,Zalogowany,8/31/2018 23:59,,84.548,,,,,,,1494481,
14806,WM Młyńska 18-60 Oława,Młyńska 20,,2,,Klatka,,AT-WMBUS-MR-01z,14806,Zalogowany,8/31/2018 23:59,,73.309,,,,,,,1497045,
14766,WM Młyńska 18-60 Oława,Młyńska 20,,3,,Klatka,,AT-WMBUS-MR-01z,14766,Zalogowany,8/31/2018 23:59,,61.22,,,,,,,1496104,
13780,WM Młyńska 18-60 Oława,Młyńska 20,,4,,Klatka,,AT-WMBUS-MR-01z,13780,Zalogowany,8/31/2018 23:59,,79.247,,,,,,,1496931,
14794,WM Młyńska 18-60 Oława,Młyńska 20,,5,,Klatka,,AT-WMBUS-MR-01z,14794,Zalogowany,8/31/2018 23:59,,47.398,,,,,,,1497031,
14786,WM Młyńska 18-60 Oława,Młyńska 22,,,,Klatka,,AT-WMBUS-MR-01z,14786,Zalogowany,8/31/2018 23:59,,0,,,,,,,1496125,
14738,WM Młyńska 18-60 Oława,Młyńska 26,,,,-,,AT-WMBUS-MR-01z,14738,Zalogowany,8/31/2018 23:59,,65.857,,,,,,,1496172,
14803,WM Młyńska 18-60 Oława,Młyńska 30,,,,-,,AT-WMBUS-MR-01z,14803,Zalogowany,8/31/2018 23:59,,110.115,,,,,,,1496158,
14802,WM Młyńska 18-60 Oława,Młyńska 34,,,,-,,AT-WMBUS-MR-01z,14802,Zalogowany,8/31/2018 23:59,,140.561,,,,,,,1494490,
14787,WM Młyńska 18-60 Oława,Młyńska 38,,,,-,,AT-WMBUS-MR-01z,14787,Zalogowany,8/31/2018 23:59,,34.901,,,,,,,1496133,
13803,WM Młyńska 18-60 Oława,Młyńska 44,,1,,Klatka,,AT-WMBUS-MR-01z,13803,Zalogowany,8/31/2018 23:59,,57.343,,,,,,,1497194,
14785,WM Młyńska 18-60 Oława,Młyńska 44,,2,,Klatka,,AT-WMBUS-MR-01z,14785,Zalogowany,8/31/2018 23:59,,72.912,,,,,,,1496152,
14789,WM Młyńska 18-60 Oława,Młyńska 44,,3,,Klatka,,AT-WMBUS-MR-01z,13789,Zalogowany,8/31/2018 23:59,,60.207,,,,,,,1494477,
14804,WM Młyńska 18-60 Oława,Młyńska 46,,1,,Klatka,,AT-WMBUS-MR-01z,14804,Zalogowany,8/31/2018 23:59,,49.567,,,,,,,1497002,
13817,WM Młyńska 18-60 Oława,Młyńska 46,,2,,Klatka,,AT-WMBUS-MR-01z,13817,Zalogowany,8/31/2018 23:59,,65.448,,,,,,,1497006,
13804,WM Młyńska 18-60 Oława,Młyńska 46,,3,,Klatka,,AT-WMBUS-MR-01z,13804,Zalogowany,8/31/2018 23:59,,17.331,,,,,,,1496174,
13797,WM Młyńska 18-60 Oława,Młyńska 48,,1,,Klatka,,AT-WMBUS-MR-01z,13797,Zalogowany,8/31/2018 23:59,,78.829,,,,,,,1497254,
13774,WM Młyńska 18-60 Oława,Młyńska 48,,2,,Klatka,,AT-WMBUS-MR-01z,13774,Zalogowany,8/31/2018 23:59,,51.688,,,,,,,1497240,
,WM Młyńska 18-60 Oława,Młyńska 48,,3,,Klatka,,AT-WMBUS-MR-01z,,Zalogowany,8/31/2018 23:59,,,,,,,,,,awaria
13771,WM Młyńska 18-60 Oława,Młyńska 50,,1,,Klatka,,AT-WMBUS-MR-01z,13771,Zalogowany,8/31/2018 23:59,,63.954,,,,,,,1494036,
14716,WM Młyńska 18-60 Oława,Młyńska 50,,2,,Klatka,,AT-WMBUS-MR-01z,14716,Zalogowany,8/31/2018 23:59,,54.822,,,,,,,1494499,
13776,WM Młyńska 18-60 Oława,Młyńska 50,,3,,Klatka,,AT-WMBUS-MR-01z,13776,Zalogowany,8/31/2018 23:59,,32.535,,,,,,,0,
13800,WM Młyńska 18-60 Oława,Młyńska 50,,4,,Klatka,,AT-WMBUS-MR-01z,13800,Zalogowany,8/31/2018 23:59,,22.025,,,,,,,1494225,
14746,WM Młyńska 18-60 Oława,Młyńska 52,,,,-,,AT-WMBUS-MR-01z,14746,Zalogowany,8/31/2018 23:59,,185.082,,,,,,,1497046,
14725,WM Młyńska 18-60 Oława,Młyńska 54,,1,,Klatka,,AT-WMBUS-MR-01z,14725,Zalogowany,8/31/2018 23:59,,45.17,,,,,,,1496163,
14735,WM Młyńska 18-60 Oława,Młyńska 54,,2,,Klatka,,AT-WMBUS-MR-01z,14735,Zalogowany,8/31/2018 23:59,,35.161,,,,,,,1497238,
13772,WM Młyńska 18-60 Oława,Młyńska 54,,3,,Klatka,,AT-WMBUS-MR-01z,13772,Zalogowany,8/31/2018 23:59,,66.362,,,,,,,1496164,
14792,WM Młyńska 18-60 Oława,Młyńska 56,,1,,Klatka,,AT-WMBUS-MR-01z,14792,Zalogowany,8/31/2018 23:59,,83.641,,,,,,,1497033,
14758,WM Młyńska 18-60 Oława,Młyńska 56,,2,,Klatka,,AT-WMBUS-MR-01z,14758,Zalogowany,8/31/2018 23:59,,32.695,,,,,,,1497004,
,WM Młyńska 18-60 Oława,Młyńska 56,,3,,Klatka,,AT-WMBUS-MR-01z,,,,,,,,,,,,,awaria
14723,WM Młyńska 18-60 Oława,Młyńska 56,,4,,Klatka,,AT-WMBUS-MR-01z,14723,Zalogowany,8/31/2018 23:59,,23.878,,,,,,,1497039,
14779,WM Młyńska 18-60 Oława,Młyńska 58,,1,,Klatka,,AT-WMBUS-MR-01z,14779,Zalogowany,8/31/2018 23:59,,22.023,,,,,,,1496124,
13784,WM Młyńska 18-60 Oława,Młyńska 58,,2,,Klatka,,AT-WMBUS-MR-01z,13784,Zalogowany,8/31/2018 23:59,,46.894,,,,,,,1494044,
13834,WM Młyńska 18-60 Oława,Młyńska 60,,1,,Klatka,,AT-WMBUS-MR-01z,13834,Zalogowany,8/31/2018 23:59,,43.764,,,,,,,1496930,
13781,WM Młyńska 18-60 Oława,Młyńska 60,,2,,Klatka,,AT-WMBUS-MR-01z,13781,Zalogowany,8/31/2018 23:59,,117.815,,,,,,,1497192,
14806,WM Młyńska 18-60 Oława,Młyńska 20,,2,,Klatka,,AT-WMBUS-MR-01z,14806,Chwilowy,9/17/2018 13:38,1998.575,73.309,21.1,21.1,,,,,1497045,
10709,WM Młyńska 18-60 Oława,Młyńska 18,,,,-,,AT-WMBUS-MR-01z,10709,Chwilowy,9/17/2018 13:39,8133.958,288.281,22.6,22.5,,,,,1443607,
13786,WM Młyńska 18-60 Oława,Młyńska 20,,1,,Klatka,,AT-WMBUS-MR-01z,13786,Chwilowy,9/17/2018 13:39,1457.475,84.548,21.4,21.4,,,,,1494481,
14766,WM Młyńska 18-60 Oława,Młyńska 20,,3,,Klatka,,AT-WMBUS-MR-01z,14766,Chwilowy,9/17/2018 13:38,880.871,61.22,21,20.9,,,,,1496104,
13780,WM Młyńska 18-60 Oława,Młyńska 20,,4,,Klatka,,AT-WMBUS-MR-01z,13780,Chwilowy,9/17/2018 13:38,1674.274,79.248,20.6,20.7,,,,,1496931,
14794,WM Młyńska 18-60 Oława,Młyńska 20,,5,,Klatka,,AT-WMBUS-MR-01z,14794,Chwilowy,9/17/2018 13:38,1750.05,47.399,20.8,20.7,,,,,1497031,
14786,WM Młyńska 18-60 Oława,Młyńska 22,,,,Klatka,,AT-WMBUS-MR-01z,14786,Chwilowy,9/17/2018 13:39,469.812,0,22.9,23,,,,,1496125,
14738,WM Młyńska 18-60 Oława,Młyńska 26,,,,-,,AT-WMBUS-MR-01z,14738,Chwilowy,9/17/2018 13:38,4027.24,65.857,24.1,23.9,,,,,1496172,
14803,WM Młyńska 18-60 Oława,Młyńska 30,,,,-,,AT-WMBUS-MR-01z,14803,Chwilowy,9/17/2018 13:38,3968.012,110.116,24.2,23.7,,,,,1496158,
14802,WM Młyńska 18-60 Oława,Młyńska 34,,,,-,,AT-WMBUS-MR-01z,14802,Chwilowy,9/17/2018 13:40,2940.806,140.562,23.3,23.2,,,,,1494490,
14787,WM Młyńska 18-60 Oława,Młyńska 38,,,,-,,AT-WMBUS-MR-01z,14787,Chwilowy,9/17/2018 13:38,1158.747,34.901,23.6,23.5,,,,,1496133,
13803,WM Młyńska 18-60 Oława,Młyńska 44,,1,,Klatka,,AT-WMBUS-MR-01z,13803,Chwilowy,9/17/2018 13:39,2499.646,57.344,20.6,20.3,,,,,1497194,
14785,WM Młyńska 18-60 Oława,Młyńska 44,,2,,Klatka,,AT-WMBUS-MR-01z,14785,Chwilowy,9/17/2018 13:39,2696.46,72.912,20.4,20.2,,,,,1496152,
14789,WM Młyńska 18-60 Oława,Młyńska 44,,3,,Klatka,,AT-WMBUS-MR-01z,13789,Chwilowy,9/17/2018 13:38,2627.826,60.208,20.5,20.3,,,,,1494477,
14804,WM Młyńska 18-60 Oława,Młyńska 46,,1,,Klatka,,AT-WMBUS-MR-01z,14804,Chwilowy,9/17/2018 13:38,2816.716,49.568,20.4,20.3,,,,,1497002,
13817,WM Młyńska 18-60 Oława,Młyńska 46,,2,,Klatka,,AT-WMBUS-MR-01z,13817,Chwilowy,9/17/2018 13:38,5402.545,65.448,20.2,20,,,,,1497006,
13804,WM Młyńska 18-60 Oława,Młyńska 46,,3,,Klatka,,AT-WMBUS-MR-01z,13804,Chwilowy,9/17/2018 13:40,488.56,17.331,20.3,20.1,,,,,1496174,
13797,WM Młyńska 18-60 Oława,Młyńska 48,,1,,Klatka,,AT-WMBUS-MR-01z,13797,Chwilowy,9/17/2018 13:39,2309.768,78.83,21.8,21.6,,,,,1497254,
13774,WM Młyńska 18-60 Oława,Młyńska 48,,2,,Klatka,,AT-WMBUS-MR-01z,13774,Chwilowy,9/17/2018 13:40,2611.022,51.689,21.7,21.6,,,,,1497240,
