Nazwa punktu pomiarowego,Grupa,Budynek,Klatka,Lokal,Właściciel,Lokalizacja,Uwagi,Mierzona wielkość,Typ urządzenia,Nr radiowy,Nr wodomierza,Alarmy,Objętość [m3] styczeń 2023,Objętość [m3] grudzień 2022,Objętość [m3] listopad 2022,Objętość [m3] październik 2022,Objętość [m3] wrzesień 2022,Objętość [m3] sierpień 2022,Objętość [m3] lipiec 2022,Objętość [m3] czerwiec 2022,Objętość [m3] maj 2022,Objętość [m3] kwiecień 2022,Objętość [m3] marzec 2022,Objętość [m3] luty 2022,Objętość [m3] styczeń 2022
3513297,Baza terminala z dnia 11.01.2023,Jarzębinowa,19,1,os.fizyczna,-,68161540,ZW,AT-WMBUS-16-2,3513297,68161540,,41.175,40.65,38.037,35.577,33.308,31.106,28.931,26.697,24.603,22.668,20.787,18.7,16.713
3513253,Baza terminala z dnia 11.01.2023,Jarzębinowa,19,2,os.fizyczna,-,68161483,ZW,AT-WMBUS-16-2,3513253,68161483,,13.875,13.821,12.935,12.016,10.854,10.271,9.589,9.426,8.824,8.174,7.447,6.672,5.817
3513124,Baza terminala z dnia 11.01.2023,Jarzębinowa,19,3,os.fizyczna,-,68161519,ZW,AT-WMBUS-16-2,3513124,68161519,,26.048,25.75,24.312,22.867,21.55,20.26,18.841,17.771,16.099,14.611,13.067,11.562,10.344
3513114,Baza terminala z dnia 11.01.2023,Jarzębinowa,21,1,os.fizyczna,-,68161555,ZW,AT-WMBUS-16-2,3513114,68161555,,103.316,101.77,94.736,89.682,83.788,78.647,73.387,68.13,62.283,57.364,51.341,45.618,40.114
3513105,Baza terminala z dnia 11.01.2023,Jarzębinowa,21,2,os.fizyczna,-,68161544,ZW,AT-WMBUS-16-2,3513105,68161544,,64.846,64.146,59.887,57.622,54.937,52.8,48.489,44.478,40.047,37.84,34.319,32.043,30.399
3513368,Baza terminala z dnia 11.01.2023,Jarzębinowa,21,3,os.fizyczna,-,68161536,ZW,AT-WMBUS-16-2,3513368,68161536,,133.634,130.646,121.874,113.885,106.622,100.198,93.704,87.46,81.208,74.299,67.741,60.21,53.657
3513223,Baza terminala z dnia 11.01.2023,Jarzębinowa,21,4,os.fizyczna,-,68161550,ZW,AT-WMBUS-16-2,3513223,68161550,,45.816,44.828,42.709,40.753,38.755,36.5,33.614,30.654,27.724,25.109,23.136,20.902,18.873
3513364,Baza terminala z dnia 11.01.2023,Jarzębinowa,21,5,os.fizyczna,-,68161530,ZW,AT-WMBUS-16-2,3513364,68161530,,198.787,195.549,185.473,175.379,163.802,154.313,142.771,131.436,120.8,107.454,93.681,80.754,71.574
3508129,Baza terminala z dnia 11.01.2023,Jarzębinowa,21,6,os.fizyczna,-,68161526,ZW,AT-WMBUS-16-2,3508129,68161526,"Odłączenie urządzenia, Data wystąpienia: 14.06.2021 10:18",109.024,107.712,101.139,95.666,89.734,82.704,78.426,74.049,68.65,63.126,57.5,51.351,45.949
3513398,Baza terminala z dnia 11.01.2023,Jarzębinowa,21,7,os.fizyczna,-,68161534,ZW,AT-WMBUS-16-2,3513398,6816153,,94.713,91.651,80.671,70.66,60.634,53.578,45.913,40.073,36.918,33.259,30.033,27.002,23.606
3513101,Baza terminala z dnia 11.01.2023,Jarzębinowa,21,8,os.fizyczna,-,68161542,ZW,AT-WMBUS-16-2,3513101,68161542,,306.116,301.179,285.219,268.137,252.527,238.588,219.724,200.525,184.642,166.733,152.315,136.207,120.555
